"userId","roomId","studyId","gMO","discussionId","reciept","curr","message","round"
"user@i1hYpFrzIW","T79MYOvpUx","zzS3x7G14l",63,"1-0","l","2014-07-24 12:34:53","{""type"":""team"",""userId"":""user@i1hYpFrzIW"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":63}",1
"user@i1hYpFrzIW","T79MYOvpUx","zzS3x7G14l",65,"1-0","l","2014-07-24 12:34:53","{""type"":""team"",""userId"":""user@i1hYpFrzIW"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":65}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",66,"1-0","l","2014-07-24 12:34:53","{""type"":""team"",""userId"":""user@X5EawpwGyY"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":66}",1
"user@i1hYpFrzIW","T79MYOvpUx","zzS3x7G14l",67,"1-0","l","2014-07-24 12:34:53","{""type"":""team"",""userId"":""user@i1hYpFrzIW"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":67}",1
"user@i1hYpFrzIW","T79MYOvpUx","zzS3x7G14l",68,"1-0","l","2014-07-24 12:34:53","{""type"":""team"",""userId"":""user@i1hYpFrzIW"",""location"":""1-0"",""database"":""persistent"",""userMask"":""user C"",""userColor"":""#FF3300"",""current-population"":4,""gMO"":68}",1
"user@Hu0AYDBrqR","T79MYOvpUx","zzS3x7G14l",69,"1-0","l","2014-07-24 12:34:53","{""type"":""team"",""userId"":""user@Hu0AYDBrqR"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":69}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",70,"1-0","l","2014-07-24 12:34:53","{""type"":""team"",""userId"":""user@zWAVh7LBNa"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":70}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",71,"1-0","l","2014-07-24 12:34:53","{""type"":""team"",""userId"":""user@X5EawpwGyY"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":71}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",72,"1-0","l","2014-07-24 12:34:53","{""type"":""team"",""userId"":""user@X5EawpwGyY"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":72}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",73,"1-0","l","2014-07-24 12:34:53","{""type"":""team"",""userId"":""user@X5EawpwGyY"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":73}",1
"user@Hu0AYDBrqR","T79MYOvpUx","zzS3x7G14l",74,"1-0","l","2014-07-24 12:34:53","{""type"":""team"",""userId"":""user@Hu0AYDBrqR"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":74}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",75,"1-0","l","2014-07-24 12:34:54","{""type"":""team"",""userId"":""user@zWAVh7LBNa"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":75}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",76,"1-0","l","2014-07-24 12:34:54","{""type"":""team"",""userId"":""user@zWAVh7LBNa"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":76}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",77,"1-0","l","2014-07-24 12:34:54","{""type"":""team"",""userId"":""user@zWAVh7LBNa"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":77}",1
"user@Hu0AYDBrqR","T79MYOvpUx","zzS3x7G14l",78,"1-0","l","2014-07-24 12:34:54","{""type"":""team"",""userId"":""user@Hu0AYDBrqR"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":78}",1
"user@Hu0AYDBrqR","T79MYOvpUx","zzS3x7G14l",79,"1-0","l","2014-07-24 12:34:54","{""type"":""team"",""userId"":""user@Hu0AYDBrqR"",""location"":""1-0"",""database"":""persistent"",""current-population"":4,""gMO"":79}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",81,"2-0","l","2014-07-24 12:35:04","{""type"":""link"",""userId"":""user@X5EawpwGyY"",""comment"":{""userId"":""user@X5EawpwGyY"",""text"":""3-0""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user A"",""userColor"":""#33CC33"",""current-population"":4,""gMO"":81}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",82,"2-0","l","2014-07-24 12:35:07","{""type"":""link"",""userId"":""user@X5EawpwGyY"",""comment"":{""userId"":""user@X5EawpwGyY"",""text"":""3-1""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user A"",""userColor"":""#33CC33"",""current-population"":4,""gMO"":82}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",83,"2-0","l","2014-07-24 12:35:09","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""0-0""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":83}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",84,"2-0","l","2014-07-24 12:35:12","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""0-3""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":84}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",85,"2-0","l","2014-07-24 12:35:14","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""0-4""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":85}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",86,"2-0","l","2014-07-24 12:35:16","{""type"":""link"",""userId"":""user@X5EawpwGyY"",""comment"":{""userId"":""user@X5EawpwGyY"",""text"":""4-1""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user A"",""userColor"":""#33CC33"",""current-population"":4,""gMO"":86}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",87,"2-0","l","2014-07-24 12:35:20","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""0-0""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":87}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",88,"2-0","l","2014-07-24 12:35:21","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""0-1""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":88}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",89,"2-0","l","2014-07-24 12:35:22","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""0-2""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":89}",1
